index ,smarts,smiles,ionization_center_id,acid_or_base,,
63,"[CX4:0]-[NX3:1]([CX4,c:2])([CX4,c :3])",*C(*)(*)N(C)C,1,B,,
64,"[C:0](-[C,c:1])=[NX2:2]-[O:3]-[H:4]",CC=NO,2,B,,
65,"[C:0]-[nX3;H0:1]([C,c:2])([C,c:3])",CN(C)C,1,B,,
66,[c:0]:[nX2:1]:[c:2],c1ccncc1,1,B,,
67,[c:0]:[nX2:1]:[nX3:2]:[c:3]=[OX1:4],CNNC=O,1,B,,
68,[CX4:0]-[NX3:1](-[H:2])-[CX4:3],*C(*)(*)NC(*)(*)C,1,B,,
69,[C:0](=[O:1])-[N:2](-[H:3])-[NX3:4] (-[H:5])(-[H:6]),NNC=O,4,B,,
70,[c:0]:[nX2:1]:[n:2]:[n:3]:[n:4]-[CX4: 5],CNNNNC,1,B,,
71,[CX4:0](-[CX4:1])(-[CX4:2])-[NH2: 3],*C(*)(*)C(*)(N)C(*)(*)*,3,B,,
72,"[CX3:0]=[NX2:1]-[CX4,SX4:2]",*C(*)=NC(*)(*)*,1,B,,
72,"[CX3:0]=[NX2:1]-[CX4,SX4:2]",*C(*)=NS(*)(*)*,1,B,,
73,[c:0]-[NH2:1],CN ,1,B,,
74,"[!OX1:0][C,c:1]-[NX3:2](-[c:3])-[H: 4]",CCNC,2,B,,
75,"[C,c:0]-[NX2:1]=[c:2]:[nX3:3]-[H:4]",CN=CN,1,B,,
76,[nX2:0](:[c:1]):[nX3:2]-[c:3],CNNC,0,B,,
77,[c:0]=[NX2:1]-[H:2],C=N,1,B,,
78,[c:0]:[nX2:1]:[nX2:2]:[nX3:3](-[H:4] ):[nX2:5],CNNNN,1,B,,
79,[OX1:0]=[CX3:1]-[C:2]-[NH2:3],*C(=O)CN,3,B,,
80,"[C:0]=[N:1]-[N:2]=[C:3](-[NH2:4])-[ S,O,P:5]",C=NN=C([N])O,2,B,,
80,"[C:0]=[N:1]-[N:2]=[C:3](-[NH2:4])-[ S,O,P:5]",C=NN=C([N])P,2,B,,
80,"[C:0]=[N:1]-[N:2]=[C:3](-[NH2:4])-[ S,O,P:5]",C=NN=C([N])S,2,B,,
81,[nH1:0]:[c:1]:[nX2H0:2]:[nX2H0:3]: [cX3:4]:[cX3:5],CCNNCN,"2,3",B,,
83,[cX3:0]:[nX2H0:1]:[nX2H0:2]:[cX3: 3]:[sX2H0:4],CNNCS,"1,2 ",B,,
84,[cX3:0]:[cX3:1]:[nX2H0:2]:[nX2H0: 3]:[cX3:4]:[cX3:5]:[cX3:6]:[nX3:7]:[ cX3:8],CCNNCCCNC,"2,3",B,,
85,[NX3H0:0]-[CX3:1]=[NX2H0:2]-[N X2H0:3]=[CX3:4],*C(*)=NN=CN(*)*,2,B,,
86,[CX3:0]=[NX2H0:1]-[NX3H1:2]-[C X4:3],*C(*)=NN(*)C(*)(*)*,"1,2",B,,
87,[CX3:0](=[OX1:1])-[CX4:2]-[NX3:3 ](-[H:4])-[cX3:5],*C(=O)C(*)(*)NC(*)*,3,B,,
88,[CX3:0](=[OX1:1])-[CX4:2]-[NX3H 1:3](-[H:4])-[CX3:5]=[NX2H0:6],*N=C(*)NC(*)(*)C(*)=O,6,B,,
89,[C:0]-[NH:1]-[NH:2]-[C:3]=[O:4],C[N][N]C=O,1,B,,
